#auto generated file!
1746.0;29;24;22;17;17;16;10;7;9;13;7;8;10;11
1752.0;28;25;22;17;16;15;11;7;8;13;8;8;12;10
1758.0;28;24;22;18;17;15;10;7;8;13;8;8;12;10
1764.0;28;24;21;17;17;15;10;7;9;11;10;8;12;11
1770.0;29;24;21;18;15;14;9;7;10;11;10;8;12;12
1776.0;29;24;21;18;15;15;11;9;9;8;9;8;12;12
1782.0;30;23;22;17;17;15;9;8;10;7;9;9;12;12
1788.0;32;25;20;17;16;14;8;8;10;7;10;9;12;12
1794.0;33;25;20;17;15;14;9;7;10;7;8;10;13;12
1800.0;33;25;21;18;15;13;10;7;10;5;8;10;13;12
1806.0;33;25;21;18;15;12;10;8;11;5;7;10;14;11
1812.0;34;24;21;19;14;11;10;8;11;5;8;10;12;13
1818.0;34;24;22;19;15;11;9;9;10;4;8;11;13;11
1824.0;34;24;22;19;15;12;9;10;10;4;7;11;12;11
1830.0;34;24;21;18;15;12;9;11;10;4;7;9;14;12
1836.0;34;23;20;18;16;12;9;13;11;4;5;8;14;13
1842.0;35;23;20;18;18;12;9;13;11;5;5;7;11;13
1848.0;35;24;20;17;17;13;9;15;11;4;6;8;11;10
1854.0;35;24;19;17;17;13;10;15;10;4;6;8;12;10
1860.0;35;24;21;18;17;14;7;15;8;5;6;8;12;10
1866.0;35;24;22;18;18;15;7;15;8;5;6;8;11;8
1872.0;34;24;23;17;18;15;9;14;7;5;6;7;12;9
1878.0;33;23;22;17;18;15;9;12;8;7;7;6;14;9
1884.0;33;23;23;17;18;15;9;12;5;7;7;6;14;11
1890.0;33;24;23;17;18;16;8;11;6;7;8;4;13;12
1896.0;33;23;23;16;17;18;7;12;6;7;8;5;13;12
1902.0;31;24;23;16;16;19;6;12;9;6;8;5;13;12
1908.0;30;24;25;16;16;19;5;11;10;5;8;5;14;12
1914.0;29;24;26;16;16;17;5;12;10;5;8;6;14;12
1920.0;29;24;26;16;17;17;5;11;10;4;8;6;15;12
1926.0;31;23;26;15;18;17;5;11;9;4;8;6;16;11
1932.0;31;23;25;15;18;19;5;11;10;5;8;6;14;10
1938.0;30;23;24;14;18;19;6;12;10;5;6;7;15;11
1944.0;31;22;24;14;18;19;6;13;8;7;6;7;15;10
1950.0;31;24;25;14;18;19;6;11;10;7;5;5;13;12
1956.0;32;24;25;14;18;18;6;13;10;8;5;5;11;11
1962.0;33;24;25;14;17;18;6;15;8;7;6;6;10;11
1968.0;33;25;27;14;16;18;6;15;8;5;6;6;10;11
1974.0;32;25;27;14;15;18;6;14;8;5;6;7;10;13
